p_id,review,adj,verb,review_en
d24,"1인 12000원. 2인은24000원. 귀찮아서 긁음. 사람없으면 무제한이고, 다차면 2시간 제한 다찼다고 2시간되자마자 나가달라함 음료는 무료고, 케익은 하나주고 땡. . 세상 별로 0점은 왜없는지 케이크 있다면서 케이크도 없고(알바생이 당연하게 없어요!) 방도 세상 지저분하고 냄새나고 카드값 현금값 가격이 다르고 남은시간도 안알려주고 노래방 비지엠도 이상한거 계속 들리고 신발장도 안잠기네요 알바도 굉장히 불친절하구요. 너무 별로입니다. 과자 팝콘은 눅눅하고 시설은 무슨 90년대 초반 ui느낌에 노래방 기능 이용하는데 뒤에 이상한 브금 같은거 어떻게 지워지지도 않고 남은 시간 일부러 기입 안해서 돈뜯어 먹으려 하는거 같고 콜라에서는 한약맛 같은거 납니다. 그리고 여사장님인데 진짜 예의 없어요 노매너. 걸 어제 처음 느낌... 사장님이 가게에 없으셔서 아마 알바생이 그렇게 무례하게 행동을 한거 같은데 사장님이 좀 빨리 아셨으면.. . 건너편에 같는 멀티방 지점만 다른 곳 있어서 거기 가니 들어가자마자 신발은 신발장 넣고 싶은 곳에 넣으시면 되세요 하고 말하고 실례지만 민증 봐도 될까요? 예의 있으시던데 참으로 같은 멀티방인데도 다르다는","['귀찮아서', '없으면', '없는지', '있다면서', '당연하게', '없어요', '지저분하고', '다르고', '이상한거', '굉장히', '불친절하구요', '눅눅하고', '이상한', '같은거', '같고', '같은거', '없어요', '없으셔서', '무례하게', '같은데', '같는', '있으시던데', '다르다는']","['긁음', '찼다고', '나가', '주고', '나고', '남은', '알려주고', '들리고', '잠기네요', '하는데', '지워지지도', '않고', '남은', '뜯어', '먹으려', '하는거', '납니다', '아셨으면', '가니', '들어가자마자', '넣고', '싶은', '넣으시면', '되세요', '하고', '봐도', '될까']","12,000 won per person. 24,000 won for 2 people. Scratching because it's annoying. If there's no one, it's unlimited. If there's no one, it's 2 hours long. As soon as it's 2 hours long, the drinks are free, and the cake is free. There's no cake. There's no cake. (Of course there's no albaesaeng!) The room is dirty, smelly, the cash price of the card is different, and the B.M. The shoes are not locked. Part-time jobs are very unfriendly. I don't like it. The snack popcorn is soggy and the facilities use the karaoke function in the early '90s. It doesn't erase the weird background music, and it doesn't seem like they're trying to make money for the rest of the time, and coke tastes like herbal medicine. And she's a lady, but she's not polite. I felt it yesterday. I think the part-timer acted so rudely because he wasn't in the store, but I hope he found out quickly that the same multi-room store across the street is different, so as soon as you enter the store, you can put your shoes where you want to put your shoe in the shoe closet. Excuse me, but can I see your ID? You were very polite. We're in the same multi-room, but we're different."
c114,사장님이신거 같은데 너무 불친절... 손님들이 더 친절하네요. 매장이 깨끗하고 신간 책들이 잘 구비되어 있고 음식도 정성이 느껴지는 맛이다.. 책과 매장 관리상태가 너무 좋고..직원들이 친절합니다~ 도장쿠폰 이벤트 중인데.. 음료나 다른 상품으로도 교환해 갈수 있어서 자주 갈수록 득템할수 있는 곳입니다^^,"['같은데', '친절하네요', '깨끗하고', '친절합니다']","['잘', '되어', '느껴지는', '해', '할수']","I think you're the boss, but you're being so unkind... The guests are nicer. The store is clean, the new books are well prepared, and the food is also delicious. The books and the store are in good condition.The staff is kind. We're having a stamp coupon event. You can exchange it for drinks and other products, so you can get more and more products as time goes by.^^"
f230,"12/23에 오려다 후기에 냄새 난대서 안오고 오늘은 넘 추워서 그냥 가보자 하고 왔는데 하수구,담배냄새 전혀 안 나네요? 후기 보고 개선한건지 그날만 유독 그랬는지 모르지만 어쨌든 아늑하게 잘 놀다 갑니다~ 여자화장실 깔끔하고 좋아요ㅎㅎ 신랑이 남자화장실은 밖에 있다 하고 저야 안 가봐서 모르지만요~. 들어왔는데 담배냄새 나거나 하수구 냄새 나네요 ㅜㅜ 자리를 옮겨봐도 담배냄새냐 하수구 냄새냐 결정해야됨 ㅠ","['추워서', '그랬는지', '아늑하게', '깔끔하고']","['오려다', '오고', '넘', '가보자', '하고', '왔는데', '나네요', '건지', '모르지만', '잘', '놀다', '갑니다', '하고', '가봐서', '모르지만', '들어왔는데', '나거나', '나네요', '옮겨', '봐도', '해야', '됨']","I was going to come here on December 23rd, but I didn't come here because it was so cold today, so I thought I'd just go. But it doesn't smell like a sewer or cigarette at all? I don't know if the review was improved or not, but anyway, I had a great time. The ladies' room is neat and nice.I don't know because the groom told me that the men's restroom is outside. I'm in, and I smell a cigarette or a sewer. I have to decide whether it smells like cigarette or sewer even if I move to another seat."
b72,최고예요. 최고예요,,,It's the best. It's the best.
g124,마이크가 완전 거지임,,,Mike is a beggar.
b2410,조금 아쉬워요. 관리가안되어 을씨년스러움. 서울숲에 편입시켜 관리를하거나 물을빼고 개발을하는게 낫지 않을까 싶습니다.,"['아쉬워요', '안되어', '을씨년스러']","['시켜', '빼고', '하는게', '않을까', '싶습니다']",I'm a little sad. I think it would be better to transfer it to Seoul Forest and manage it or drain the water and develop it.
b86,최근 리뷰가 없어서 지나가다 들렸는데 놀이터가 5-6세이상부터 활동적인 아이들이 재미있게 놀수있을것 같아요 비온 다음날인데 물구덩이 같은건 없었어요 따로 관리가 잘 되어보이진 않아요.. 3세 여아는 좀 무서워해서 그냥 스치듯 안녕했네요  다시 가진 않을거 같아요,"['재미있게', '같은건', '없었어요', '무서워', '안녕했네요']","['지나가다', '들렸는데', '놀수있을것', '잘', '되어', '보이진', '않아요', '여아는', '해서', '스치듯', '가진', '않을거']","I was just passing by because I didn't have a review recently, and I think the playground will be fun for kids who are active from the age of 5-6 or older. The day after the rain, there was no puddle. It doesn't look like it's managed. A three-year-old girl was a little scared, so she was just passing by, and I don't think she's going back."
b200,최고예요. 돌아다니며 산책하기 좋아요:). 충무로역 가는 길에 우연히 발견하고 들렀는데 우연히 이 근처에 오게되면 산책하기 좋습니다. 외국인들이 구경하기에도 잘 되어있고 이런저런 한국 문화 체험할 것들도 많습니다. 지금은 공사중이지만 공사가 끝나면 더 예쁠 것 같습니다. 평일 낮에 가서 사람도 많지 않았습니다.. 평일에 가면 힐링하기 좋습니다,"['좋습니다', '많습니다', '예쁠', '같습니다', '많지', '좋습니다']","['돌아다니며', '하기', '가는', '들렀는데', '오게되', '하기', '하기에도', '잘', '되어있고', '할', '끝나면', '가서', '않았습니다', '하기']",
g1313,최고예요,,,It's the best.
f42,오늘 다녀갔는데 너무 친절하게 알려주시고 너무 좋았습니다! 마감시간까지 있었는데도 배려해주시고 너무 친절하셨어요ㅎㅎ . 알바생 너무 4가지가없네요 불친절,"['친절하게', '좋았습니다', '있었는데도', '친절하셨어요', '없네요']","['다녀갔는데', '알려주시고', '해주시고']",I went there today and it was so nice of you to let me know! You were so kind even though there was a deadline. There are too few part-timers. unkindness
b26,최고예요. 애국의 기준은  사람마다 다르고 평점을 매길 수 없는 곳 입니다. 일반 시민으로써 공원이 참 괜찮게 자꾸어져있습니다. 참 좋은 공원입니다.. 도산 안창호 그는 자본주의 맹신론자 였고  그리하였다. 그는 왕국 형태의 국가를 건립 하려 하였다. 민주정이 아니라 절대정 으로  그러나 그의 긍지는 높게 평가될 것이다.. 보통이에요. 왜 들어와볼 생각을 안했지; 도심속 완벽한 공원!  도보거리에 살고싶다 :-) . nan. 오늘하루도 수고하셨습니다~~~모두들~~ 맛있는 저녁식사와휴식을취하시길! 오늘하루도 아무일 없이 즐겁게 보내서 감사합니다^^♥. 점심후 산책. 꼭 가겠습니다. 감사합니다 . 대한독립만세. 대한독립만세,"['다르고', '괜찮게', '아니라', '높게', '완벽한', '맛있는', '즐겁게']","['매길', '참', '꾸어져있습니다', '참', '였고', '그리하였다', '하려', '하였다', '될', '들어와', '했지', '살고싶다', '하셨습니다', '보내서', '감사합니다', '가겠습니다', '감사합니다']","It's the best. The standard of patriotism is different from person to person and cannot be graded. As an ordinary citizen, the park is very well kept. What a nice park. Dosan Ahn Chang-ho. He was a blind believer in capitalism and did so. He tried to build a kingdom in the form of a kingdom. Not democratic, but absolute, but his pride will be highly appreciated. It's normal. Why didn't you come in? The perfect park in the city! I want to live on foot. Thank you for your hard work today.Have a delicious dinner and rest! Thank you for having a great day today.^^♥. Walk after lunch. I'll make sure to go. Thank you. hurray for the independence of Korea hurray for the independence of Korea"
f264,불친절하고 놀것도 없고 관리도 안되어있음 난방도 안해서 애들 양말신고 잠바입고 놀아야함,"['불친절하고', '안되어있음', '야함']","['놀것도', '입고', '놀아']","Unkind, unassuming, unassisted, unheated, children have to wear socks and paddle"
g184,타임 이벤트 적용하면 천원에 6곡 기적의 코노 백점나오면 한곡 더줌,,"['하면', '나오면']","If you apply a time event and you get a perfect score of six songs for 1,000 won, one more song will be added."
f1511,집만 가까웠어도 매일 가고싶네요  라면맛집ㅋㅋ 시설이랑 화장실도 깨끗하고 넘 좋아요~~. 맘같아선 평점 5.5 주고 싶습니다. 매일 오고 싶네요. 라면 맛집이예영!!!!  개냥이도 있어요. 넘조아요. 내가 젤 좋아하는 곳♡ 고양이도 개냥이라서 사람도 잘따르고 잘놀아준다. 만화책 종류도 이 근처 만화카페 중에서 제일 많은 곳이라서 좋다 정기권 끊어버리고싶음..,"['가까웠어도', '깨끗하고', '같아선', '있어요', '조아요', '좋아하는', '많은']","['가고싶네요', '넘', '주고', '싶습니다', '오고', '싶네요', '넘', '따르고', '놀아', '준다', '끊어', '버리고싶음']","If it was close to my house, I would like to go to a ramen restaurant every day. The facilities and toilets are clean and nice. I'd like to give you a rating of 5.5 if you feel like it. I want to come every day. Ramen restaurants will be open!!!  There's also a dog cat. It's too much. My favorite place is also a dog cat, so it follows people well and plays well. I like it because there are the most comic book types among comic cafes around here. I want to buy a regular ticket."
g514,절대가지마세요 마이크 쓰레기○임 20년전꺼씀 안들림 ㄷㄷ. 유선마이크에 음질이 넘 안좋았습니당 거의 생목으로 부르는 수준이었어융 ㅜㅜ . 음향이 별로예요 ㅠㅠ. 넓지않아서  혼자가기좋아요! 편하고 근데 밤되면 근처에 사람도많고 식당들이 많아서 좀 위험한느낌이있네요 낮에가세요~!,"['안좋았', '넓지', '편하고', '위험한']","['마세요', '들림', '넘', '니당', '부르는', '이었어', '않아서', '되면', '느낌이있네요']","Never go, Mike. Trash ○ I couldn't hear you 20 years ago. The sound quality of the wired microphone was so bad that it was almost called raw wood. I don't like the sound It's not wide, so I'm happy to be alone! It's comfortable, but at night, there are many people and restaurants nearby, so it feels a little dangerous. Go during the day~!"
b19,"운동.및  산책에 최고9. 편의점 비싸고 직원도 별로임. 편의점 라면 3000원에 계산하려고하니 500원 올려받고 진열대에 가격표를 안바꿨다고 그제서야 슬쩍 뺌. 산책하기좋음. 나의 사랑 보라매공원. 공원자체는 좋지만, 편의점에서 몇몇 품목을 비싸게 받네요. 그냥 바코드찍어 계산하지 않고 직접 금액 입력해서 결재하는... 밖에서 2천원에 파는걸 4천원에 삼.... 산책하기 정말 최고에요~ . 최고예요. 최고예요. 벗꽃많이폈네요 아이랑 놀다왔어요. 포켓몬 잘 나와요. 도심속 작은여유~. 평화롭고 좋아요. 최고예요. 돗자리 깔고 누우면 천국이 따로없다.. 아이고 봄에 진짜 예쁘다. 여기 버드나무가 참 좋다 보라매공원 단점은 사시사철 사람이 넘나넘나넘나 많다는것.. 최고예요. 최고예요. 좋아요. 좋아요. 최고예요. 좋아요. 최고예요. ★★★☆   공원안에 있는 축구장. 풍경도 좋고 크기도 적당하네~ 단 주차비가 비싸다 ㅠㅠ. nan. 최고예요. 좋아요. 최고예요. ★★★☆   공원안에 있는 축구장. 풍경도 좋고 크기도 적당하네~ 단 주차비가 비싸다 ㅠㅠ. nan. 큰녀석 보라매의 후예가 될런가!. 우중산책. 독서실도 있네요. 자주 이용할 듯.. 집근처였던 보라매공원. 보람애=보람,애(BORA Yeah). nan. 25년 내 삶의터전 옛 공군본부 자리에 조성된 공원 비행기 모형과 넓은잔디 논 음악분수. 목요일의 여유를... 보라매공원. nan. 잠시 휴식이 필요 할때 찾는 곳입니다 음악 분수에서의 찬란함도 느낄수 있는곳입니다. 산책, 스포츠 천국 대형, 소형잔디축구장, 테니스, 배드민턴, 족구장, 음악분수대 등 연인과 부부와 손 꼭 잡고 산책하기에 좋다. 경쾌한 음악에 맞추어 연출되는 음악분수대가 백미다~^^. 사랑하는 사람과 손잡고 산책하거나 트랙을 가볍게 뛰면서 운동하기에 좋은곳! 음악분수대는 시간이 정해져있으나 기다리는동안 남은시간은   산책로주변을 걷거나 운동하고서 보면되기에 산책과 운동장소로 더할나위없이 좋은곳^^. 즐겨찾는 산책장소. 동작구에 위치한 보라매공원!
하지만, 영등포구 주민도 관악구 주민도 자주오는 공원입니다.

지하철은 보라매역이나(서문) 신대방역에서(남문) 가까운 편입니다.

그래도 보라매공원은 버스로 오는게 더 가깝습니다. ㅋ
(보라매공원 정류소나, 보라매병원 정류소에서 하차)

하절기에는 음악분수와 바닥분수,
동절기에는 얼음썰매장을 운영합니다.
(올해도 하려나ㅎ)

간간히 행사도 하지만. 아주 가끔 ...

가볍게 산책하기에는 좋은공원입니다.접기. 운동합시다.. 저녘에 운동장트렉돌기 700M. 마음의 안식처. 랜드마크. 혼자가도 여럿이가도 좋은곳. 큰녀석 보라매의 후예가 될런가!. 우중산책. 독서실도 있네요. 자주 이용할 듯.. 집근처였던 보라매공원. 보람애=보람,애(BORA Yeah). 큰녀석 보라매의 후예가 될런가!. 우중산책. 독서실도 있네요. 자주 이용할 듯.. 집근처였던 보라매공원. 보람애=보람,애(BORA Yeah). nan. 25년 내 삶의터전 옛 공군본부 자리에 조성된 공원 비행기 모형과 넓은잔디 논 음악분수. 목요일의 여유를... 보라매공원. nan. 잠시 휴식이 필요 할때 찾는 곳입니다 음악 분수에서의 찬란함도 느낄수 있는곳입니다. 산책, 스포츠 천국 대형, 소형잔디축구장, 테니스, 배드민턴, 족구장, 음악분수대 등 연인과 부부와 손 꼭 잡고 산책하기에 좋다. 경쾌한 음악에 맞추어 연출되는 음악분수대가 백미다~^^. 사랑하는 사람과 손잡고 산책하거나 트랙을 가볍게 뛰면서 운동하기에 좋은곳! 음악분수대는 시간이 정해져있으나 기다리는동안 남은시간은   산책로주변을 걷거나 운동하고서 보면되기에 산책과 운동장소로 더할나위없이 좋은곳^^. 즐겨찾는 산책장소. 동작구에 위치한 보라매공원!
하지만, 영등포구 주민도 관악구 주민도 자주오는 공원입니다.

지하철은 보라매역이나(서문) 신대방역에서(남문) 가까운 편입니다.

그래도 보라매공원은 버스로 오는게 더 가깝습니다. ㅋ
(보라매공원 정류소나, 보라매병원 정류소에서 하차)

하절기에는 음악분수와 바닥분수,
동절기에는 얼음썰매장을 운영합니다.
(올해도 하려나ㅎ)

간간히 행사도 하지만. 아주 가끔 ...

가볍게 산책하기에는 좋은공원입니다.접기. 운동합시다.. 저녘에 운동장트렉돌기 700M. 마음의 안식처. 랜드마크. 혼자가도 여럿이가도 좋은곳. 큰녀석 보라매의 후예가 될런가!. 우중산책. 독서실도 있네요. 자주 이용할 듯.. 집근처였던 보라매공원. 보람애=보람,애(BORA Yeah)","['비싸고', '좋지만', '비싸게', '작은', '없다', '예쁘다', '많다는것', '적당하네', '비싸다', '적당하네', '비싸다', '있네요', '넓은', '찬란함도', '경쾌한', '가볍게', '더할', '가까운', '가깝습니다', '가볍게', '있네요', '있네요', '넓은', '찬란함도', '경쾌한', '가볍게', '더할', '가까운', '가깝습니다', '가볍게', '있네요']","['하려고하니', '올려', '받고', '바꿨다고', '서야', '뺌', '하기', '받네요', '찍어', '하지', '않고', '해서', '하는', '파는걸', '하기', '폈네요', '놀다', '왔어요', '잘', '나와요', '깔고', '참', '넘나', '넘나', '넘나', '큰', '될런가', '할', '였던', '된', '할', '찾는', '느낄수', '하기에', '맞추어', '되는', '하는', '손잡고', '뛰면서', '하기에', '정해져있으나', '기다리는', '남은', '걷거나', '하고서', '보면', '되기에', '즐겨', '찾는', '오는', '오는게', '합니다', '하려나', '하기에는', '합시다', '큰', '될런가', '할', '였던', '큰', '될런가', '할', '였던', '된', '할', '찾는', '느낄수', '하기에', '맞추어', '되는', '하는', '손잡고', '뛰면서', '하기에', '정해져있으나', '기다리는', '남은', '걷거나', '하고서', '보면', '되기에', '즐겨', '찾는', '오는', '오는게', '합니다', '하려나', '하기에는', '합시다', '큰', '될런가', '할', '였던']",
